,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy
0,2018-04-09,2023-04-06,1823 days,99.84114376489276,4723.264300000055,100000.0,-95.27673569999995,78.04161013116239,-45.72024924974662,14.857341935566353,0.0,0.0,0.0,-95.30270967999994,-95.30270967999994,1822 days,1822 days,1253,43.335993615323225,7.598308206737636,-11.007138864790345,-0.24446186601594366,4 days,2 days,0.6758497524525089,-0.23076736085797198,-4.5164348393868154,"                  Equity  DrawdownPct DrawdownDuration
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11   99412.20032     0.005878              NaT
2018-04-12   96589.23656     0.034108              NaT
2018-04-13   96009.83224     0.039902              NaT
...                  ...          ...              ...
2023-03-31    4774.36184     0.952256              NaT
2023-04-03    4809.80904     0.951902              NaT
2023-04-04    4738.96538     0.952610              NaT
2023-04-05    4701.89450     0.952981              NaT
2023-04-06    4723.26430     0.952767        1822 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0    -2279         2        3    43.87208      44.33 -1043.59968  -0.010438   
1    -2236         3        4    44.24134      45.34 -2456.60376  -0.024833   
2     2124         4        5    45.43068      45.50   147.23568   0.001526   
3    -2128         5        6    45.40900      45.68  -576.68800  -0.005968   
4     2098         6        7    45.77136      45.78    18.12672   0.000189   
...    ...       ...      ...         ...        ...         ...        ...   
1248    59      1254     1255    80.11992      79.60   -30.67528  -0.006489   
1249    59      1255     1256    79.75920      80.37    36.03720   0.007658   
1250    59      1256     1257    80.53074      79.16   -80.87366  -0.017021   
1251   -59      1257     1258    79.00168      79.45   -26.45088  -0.005675   
1252    59      1258     1258    79.60890      79.45    -9.37510  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-04-11 2018-04-12   1 days  
1    2018-04-12 2018-04-13   1 days  
2    2018-04-13 2018-04-16   3 days  
3    2018-04-16 2018-04-17   1 days  
4    2018-04-17 2018-04-18   1 days  
...         ...        ...      ...  
1248 2023-03-31 2023-04-03   3 days  
1249 2023-04-03 2023-04-04   1 days  
1250 2023-04-04 2023-04-05   1 days  
1251 2023-04-05 2023-04-06   1 days  
1252 2023-04-06 2023-04-06   0 days  

[1253 rows x 10 columns]",ADM,OBV
0,2018-04-09,2023-04-06,1823 days,99.84114376489276,5551.906949999864,100186.22666,-94.44809305000014,48.1188345950906,-43.93536713446742,16.440670252172108,0.0,0.0,0.0,-94.45841296245115,-94.45841296245115,1820 days,1820 days,1246,43.09791332263242,26.063662149385447,-12.046126686221337,-0.23197558548307962,5 days,2 days,0.6987829357486378,-0.2136954140937319,-4.0875687140376975,"                  Equity  DrawdownPct DrawdownDuration
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11  100026.74866     0.000000              NaT
2018-04-12  100186.22666     0.000000              NaT
2018-04-13   98623.22500     0.015601              NaT
...                  ...          ...              ...
2023-03-31    5805.31791     0.942055              NaT
2023-04-03    5806.30581     0.942045              NaT
2023-04-04    5727.96801     0.942827              NaT
2023-04-05    5591.17857     0.944192              NaT
2023-04-06    5551.90695     0.944584        1820 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     2263         2        3    44.17818      44.50   728.27866   0.007285   
1    -2268         3        4    44.41100      44.91 -1131.73200  -0.011236   
2     2213         4        5    44.99982      44.89  -243.03166  -0.002440   
3    -2217         5        6    44.80022      45.00  -442.91226  -0.004459   
4     2193         6        7    45.09000      45.31   482.46000   0.004879   
...    ...       ...      ...         ...        ...         ...        ...   
1241    89      1253     1255    64.79934      64.45   -31.09126  -0.005391   
1242    89      1255     1256    64.57890      65.10    46.37790   0.008069   
1243    89      1256     1257    65.23020      63.48  -155.76780  -0.026831   
1244   -89      1257     1258    63.35304      64.61  -111.86944  -0.019841   
1245    86      1258     1258    64.73922      64.61   -11.11292  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-04-11 2018-04-12   1 days  
1    2018-04-12 2018-04-13   1 days  
2    2018-04-13 2018-04-16   3 days  
3    2018-04-16 2018-04-17   1 days  
4    2018-04-17 2018-04-18   1 days  
...         ...        ...      ...  
1241 2023-03-30 2023-04-03   4 days  
1242 2023-04-03 2023-04-04   1 days  
1243 2023-04-04 2023-04-05   1 days  
1244 2023-04-05 2023-04-06   1 days  
1245 2023-04-06 2023-04-06   0 days  

[1246 rows x 10 columns]",AFL,OBV
0,2018-04-09,2023-04-06,1823 days,99.84114376489276,4566.824819999543,100942.20268,-95.43317518000045,78.70800176834658,-46.08495873708429,13.992121445232486,0.0,0.0,0.0,-95.51364557165859,-95.51364557165859,1821 days,1821 days,1252,42.01277955271566,7.356649635289592,-10.3056481094691,-0.24773261426249693,5 days,2 days,0.6756559206330881,-0.23395501535484886,-3.140506791583217,"                  Equity  DrawdownPct DrawdownDuration
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11  100942.20268     0.000000              NaT
2018-04-12   99106.86618     0.018182              NaT
2018-04-13  100317.19116     0.006192              NaT
...                  ...          ...              ...
2023-03-31    4528.62498     0.955136              NaT
2023-04-03    4611.88298     0.954312              NaT
2023-04-04    4584.97442     0.954578              NaT
2023-04-05    4559.77442     0.954828              NaT
2023-04-06    4566.82482     0.954758        1821 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     1077         2        3    92.76516      93.71  1017.59268   0.010185   
1     1075         3        4    93.89742      92.63 -1362.47650  -0.013498   
2    -1077         4        5    92.44474      92.89  -479.54502  -0.004816   
3    -1069         5        6    92.70422      93.20  -529.98882  -0.005348   
4     1056         6        7    93.38640      94.00   647.96160   0.006571   
...    ...       ...      ...         ...        ...         ...        ...   
1247   -28      1254     1255   158.11314     158.25    -3.83208  -0.000866   
1248    28      1255     1256   158.56650     160.51    54.41800   0.012257   
1249    28      1256     1257   160.83102     160.00   -23.26856  -0.005167   
1250   -28      1257     1258   159.68000     160.80   -31.36000  -0.007014   
1251    28      1258     1258   161.12160     160.80    -9.00480  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-04-11 2018-04-12   1 days  
1    2018-04-12 2018-04-13   1 days  
2    2018-04-13 2018-04-16   3 days  
3    2018-04-16 2018-04-17   1 days  
4    2018-04-17 2018-04-18   1 days  
...         ...        ...      ...  
1247 2023-03-31 2023-04-03   3 days  
1248 2023-04-03 2023-04-04   1 days  
1249 2023-04-04 2023-04-05   1 days  
1250 2023-04-05 2023-04-06   1 days  
1251 2023-04-06 2023-04-06   0 days  

[1252 rows x 10 columns]",ABBV,OBV
0,2018-04-09,2023-04-06,1823 days,99.84114376489276,3497.67822879988,101523.47772000004,-96.50232177120012,88.59664452988467,-48.887792161753886,14.089149211606339,0.0,0.0,0.0,-96.63293476980009,-48.822283208792015,1814 days,910 days,1254,42.74322169059011,8.554074175933435,-9.415457635199376,-0.2703326622293667,4 days,2 days,0.6479401107722701,-0.25647940101925326,-3.825999881790044,"                   Equity  DrawdownPct DrawdownDuration
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100618.326400     0.000000              NaT
2018-04-12  101496.312640     0.000000              NaT
2018-04-13  101284.927740     0.002083              NaT
...                   ...          ...              ...
2023-03-31    3418.361719     0.966329              NaT
2023-04-03    3447.205519     0.966045              NaT
2023-04-04    3462.620869     0.965893              NaT
2023-04-05    3469.081749     0.965830              NaT
2023-04-06    3497.678229     0.965548        1814 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0      870         2        3   114.86928    116.040  1018.52640   0.010192   
1     -872         3        4   115.80792    115.950  -123.89376  -0.001227   
2     -871         4        5   115.71810    116.440  -628.77490  -0.006238   
3      859         5        6   116.67288    118.350  1440.64608   0.014375   
4      857         6        7   118.58670    118.020  -485.66190  -0.004779   
...    ...       ...      ...         ...        ...         ...        ...   
1249   -15      1254     1255   220.47816    218.540    29.07240   0.008791   
1250    15      1255     1256   218.97708    216.155   -42.33120  -0.012888   
1251   -15      1256     1257   215.72269    213.410    34.69035   0.010721   
1252   -16      1257     1258   212.98318    213.180    -3.14912  -0.000924   
1253   -16      1258     1258   212.75364    213.180    -6.82176  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-11 2018-04-12   1 days  
1    2018-04-12 2018-04-13   1 days  
2    2018-04-13 2018-04-16   3 days  
3    2018-04-16 2018-04-17   1 days  
4    2018-04-17 2018-04-18   1 days  
...         ...        ...      ...  
1249 2023-03-31 2023-04-03   3 days  
1250 2023-04-03 2023-04-04   1 days  
1251 2023-04-04 2023-04-05   1 days  
1252 2023-04-05 2023-04-06   1 days  
1253 2023-04-06 2023-04-06   0 days  

[1254 rows x 10 columns]",ADP,OBV
0,2018-04-09,2023-04-06,1823 days,99.84114376489276,5732.908258399665,100000.0,-94.26709174160034,80.95156303675712,-43.57419566841902,16.815621961593124,0.0,0.0,0.0,-94.54017044160034,-94.54017044160034,1822 days,1822 days,1253,43.01675977653631,9.244552575779519,-6.871599980987986,-0.22901566222137681,5 days,2 days,0.6921388229806849,-0.2158147765854759,-4.147312050466859,"                   Equity  DrawdownPct DrawdownDuration
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11   99477.316720     0.005227              NaT
2018-04-12   98800.231720     0.011998              NaT
2018-04-13   96864.837560     0.031352              NaT
...                   ...          ...              ...
2023-03-31    5567.593738     0.944324              NaT
2023-04-03    5574.527338     0.944255              NaT
2023-04-04    5628.862138     0.943711              NaT
2023-04-05    5693.918098     0.943061              NaT
2023-04-06    5732.908258     0.942671        1822 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     1701         2        3    58.75728      58.50  -437.63328  -0.004379   
1    -1705         3        4    58.38300      59.18 -1358.88500  -0.013651   
2     1656         4        5    59.29836      59.00  -494.08416  -0.005032   
3    -1659         5        6    58.88200      59.65 -1274.11200  -0.013043   
4     1613         6        7    59.76930      59.00 -1240.88090  -0.012871   
...    ...       ...      ...         ...        ...         ...        ...   
1248    54      1254     1255   100.11483     100.80    36.99918   0.006844   
1249    54      1255     1256   101.00160     101.90    48.51360   0.008895   
1250    54      1256     1257   102.10380     102.63    28.41480   0.005154   
1251    54      1257     1258   102.83526     104.49    89.35596   0.016091   
1252    54      1258     1258   104.69898     104.49   -11.28492  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-04-11 2018-04-12   1 days  
1    2018-04-12 2018-04-13   1 days  
2    2018-04-13 2018-04-16   3 days  
3    2018-04-16 2018-04-17   1 days  
4    2018-04-17 2018-04-18   1 days  
...         ...        ...      ...  
1248 2023-03-31 2023-04-03   3 days  
1249 2023-04-03 2023-04-04   1 days  
1250 2023-04-04 2023-04-05   1 days  
1251 2023-04-05 2023-04-06   1 days  
1252 2023-04-06 2023-04-06   0 days  

[1253 rows x 10 columns]",ABT,OBV
0,2018-04-09,2023-04-06,1823 days,99.84114376489276,1599.5549026000706,100290.06546,-98.40044509739994,73.96541497467719,-56.29667052598576,16.20360034160272,0.0,0.0,0.0,-98.52759204430967,-98.52759204430967,1820 days,1820 days,1256,43.55095541401274,12.385313962069223,-11.403197709114199,-0.3374410714164,4 days,2 days,0.6777242260008508,-0.31250527653795135,-3.7220215375158174,"                   Equity  DrawdownPct DrawdownDuration
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100113.600580     0.000000              NaT
2018-04-12  100290.065460     0.000000              NaT
2018-04-13   97171.091360     0.031100              NaT
...                   ...          ...              ...
2023-03-31    1661.721543     0.983431              NaT
2023-04-03    1637.514503     0.983672              NaT
2023-04-04    1631.456583     0.983733              NaT
2023-04-05    1624.343863     0.983804              NaT
2023-04-06    1599.554903     0.984051        1820 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0      447         2        3   223.37586     225.72  1047.83058   0.010494   
1     -448         3        4   225.26856     228.85 -1604.48512  -0.015899   
2      433         4        5   229.30770     226.08 -1397.59410  -0.014076   
3     -434         5        6   225.62784     228.56 -1272.55744  -0.012996   
4      422         6        7   229.01712     231.70  1132.17536   0.011715   
...    ...       ...      ...         ...        ...         ...        ...   
1251     4      1254     1255   383.05458     380.88    -8.69832  -0.005677   
1252     4      1255     1256   381.64176     382.24     2.39296   0.001568   
1253    -4      1256     1257   381.47552     384.09   -10.45792  -0.006854   
1254     4      1257     1258   384.85818     379.31   -22.19272  -0.014416   
1255    -4      1258     1258   378.55138     379.31    -3.03448  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-11 2018-04-12   1 days  
1    2018-04-12 2018-04-13   1 days  
2    2018-04-13 2018-04-16   3 days  
3    2018-04-16 2018-04-17   1 days  
4    2018-04-17 2018-04-18   1 days  
...         ...        ...      ...  
1251 2023-03-31 2023-04-03   3 days  
1252 2023-04-03 2023-04-04   1 days  
1253 2023-04-04 2023-04-05   1 days  
1254 2023-04-05 2023-04-06   1 days  
1255 2023-04-06 2023-04-06   0 days  

[1256 rows x 10 columns]",ADBE,OBV
0,2018-04-09,2023-04-06,1823 days,99.84114376489276,3777.318273082051,100369.24640427598,-96.22268172691794,89.94266441821246,-48.09482105129689,14.260436413919129,0.0,0.0,0.0,-96.32561563905003,-49.424993483834015,1814 days,911 days,1254,43.22169059011164,7.491486521792201,-11.800814562324735,-0.2638537940301444,4 days,2 days,0.6576814888876551,-0.24906750123967605,-4.98232064812362,"                   Equity  DrawdownPct DrawdownDuration
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11   99132.401608     0.008676              NaT
2018-04-12   98845.046102     0.011550              NaT
2018-04-13   97475.628671     0.025244              NaT
...                   ...          ...              ...
2023-03-31    3861.536173     0.961527              NaT
2023-04-03    3854.558033     0.961596              NaT
2023-04-04    3847.162593     0.961670              NaT
2023-04-05    3788.532593     0.962254              NaT
2023-04-06    3777.318273     0.962366        1814 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  \
0      668         2        3  149.698794  149.179993  -346.559060  -0.003466   
1     -669         3        4  148.881633  151.000000 -1417.187514  -0.014229   
2      649         4        5  151.302000  151.449997    96.050053   0.000978   
3      647         5        6  151.752897  152.649994   580.421763   0.005912   
4      646         6        7  152.955294  154.350006   900.983960   0.009118   
...    ...       ...      ...         ...         ...          ...        ...   
1249    13      1253     1254  281.562000  283.120000    20.254000   0.005533   
1250    13      1254     1255  283.686240  283.390000    -3.851120  -0.001044   
1251    13      1255     1256  283.956780  284.440000     6.281860   0.001702   
1252    13      1256     1258  285.008880  280.660000   -56.535440  -0.015259   
1253   -13      1258     1258  280.098680  280.660000    -7.297160  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-11 2018-04-12   1 days  
1    2018-04-12 2018-04-13   1 days  
2    2018-04-13 2018-04-16   3 days  
3    2018-04-16 2018-04-17   1 days  
4    2018-04-17 2018-04-18   1 days  
...         ...        ...      ...  
1249 2023-03-30 2023-03-31   1 days  
1250 2023-03-31 2023-04-03   3 days  
1251 2023-04-03 2023-04-04   1 days  
1252 2023-04-04 2023-04-06   2 days  
1253 2023-04-06 2023-04-06   0 days  

[1254 rows x 10 columns]",ACN,OBV
0,2018-04-09,2023-04-06,1823 days,99.84114376489276,4209.08199999978,107674.42207999997,-95.79091800000022,2.0952380952380842,-46.95811850475996,16.05423443691308,0.0,0.0,0.0,-96.2909576454169,-17.320811083033945,1781 days,302 days,1251,45.32374100719424,8.004986350654065,-13.311651482332465,-0.2537261413015801,5 days,2 days,0.7176055317168291,-0.23490276236646182,-3.688812063187884,"                  Equity  DrawdownPct DrawdownDuration
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11   99161.28918     0.008387              NaT
2018-04-12  100224.14962     0.000000           2 days
2018-04-13   98075.94514     0.021434              NaT
...                  ...          ...              ...
2023-03-31    3993.68992     0.962910              NaT
2023-04-03    3996.37636     0.962885              NaT
2023-04-04    4140.37296     0.961547              NaT
2023-04-05    4207.13500     0.960927              NaT
2023-04-06    4209.08200     0.960909        1781 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     1559         2        3    64.11798      64.19   112.27918   0.001123   
1    -1562         3        4    64.06162      64.52  -715.98956  -0.007155   
2     1537         4        5    64.64904      64.47  -275.18448  -0.002769   
3    -1540         5        6    64.34106      65.20 -1322.76760  -0.013350   
4     1496         6        7    65.33040      65.68   523.00160   0.005351   
...    ...       ...      ...         ...        ...         ...        ...   
1246   -59      1254     1255    68.32308      68.91   -34.62828  -0.008590   
1247    58      1255     1256    69.04782      68.65   -23.07356  -0.005762   
1248   -58      1256     1257    68.51270      65.46   177.05660   0.044557   
1249   -63      1257     1258    65.32908      64.55    49.08204   0.011925   
1250   -65      1258     1258    64.42090      64.55    -8.39150  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-11 2018-04-12   1 days  
1    2018-04-12 2018-04-13   1 days  
2    2018-04-13 2018-04-16   3 days  
3    2018-04-16 2018-04-17   1 days  
4    2018-04-17 2018-04-18   1 days  
...         ...        ...      ...  
1246 2023-03-31 2023-04-03   3 days  
1247 2023-04-03 2023-04-04   1 days  
1248 2023-04-04 2023-04-05   1 days  
1249 2023-04-05 2023-04-06   1 days  
1250 2023-04-06 2023-04-06   0 days  

[1251 rows x 10 columns]",AOS,OBV
0,2018-04-09,2023-04-06,1823 days,99.84114376489276,10951.192596799712,108838.77866999999,-89.04880740320029,-51.95714487101171,-35.76973766004193,18.099856857843335,0.0,0.0,0.0,-90.13887957219605,-31.986328387683542,1792 days,604 days,1253,43.65522745411013,7.91255327183471,-10.517311242177307,-0.17688593649278772,4 days,2 days,0.7573673075480708,-0.16313072472038354,-2.9742700381224454,"                   Equity  DrawdownPct DrawdownDuration
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11   99860.778070     0.001392              NaT
2018-04-12   99979.877030     0.000201              NaT
2018-04-13   97839.857490     0.021601              NaT
...                   ...          ...              ...
2023-03-31   10817.573637     0.900609              NaT
2023-04-03   10732.723037     0.901389              NaT
2023-04-04   11015.283437     0.898793              NaT
2023-04-05   10989.648397     0.899028              NaT
2023-04-06   10951.192597     0.899382        1792 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0      465         2        3  214.629402     215.72   507.12807   0.005081   
1     -466         3        4  215.288560     218.09 -1305.47104  -0.013012   
2      453         4        5  218.526180     217.20  -600.75954  -0.006069   
3     -454         5        6  216.765600     219.15 -1082.51760  -0.011000   
4      444         6        7  219.588300     220.39   355.95480   0.003651   
...    ...       ...      ...         ...        ...         ...        ...   
1248  -106      1254     1255  103.293000     105.15  -196.84200  -0.017978   
1249   102      1255     1256  105.360300     104.90   -46.95060  -0.004369   
1250  -102      1256     1257  104.690200     102.36   237.68040   0.022258   
1251  -107      1257     1258  102.155280     102.35   -20.83504  -0.001906   
1252   107      1258     1258  102.554700     102.35   -21.90290  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-04-11 2018-04-12   1 days  
1    2018-04-12 2018-04-13   1 days  
2    2018-04-13 2018-04-16   3 days  
3    2018-04-16 2018-04-17   1 days  
4    2018-04-17 2018-04-18   1 days  
...         ...        ...      ...  
1248 2023-03-31 2023-04-03   3 days  
1249 2023-04-03 2023-04-04   1 days  
1250 2023-04-04 2023-04-05   1 days  
1251 2023-04-05 2023-04-06   1 days  
1252 2023-04-06 2023-04-06   0 days  

[1253 rows x 10 columns]",MMM,OBV
0,2018-04-09,2023-04-06,1823 days,99.84114376489276,8462.125549999746,102206.12408000004,-91.53787445000025,112.29148375768216,-39.00060658842236,21.503539577862405,0.0,0.0,0.0,-92.58417995181279,-32.008788219050125,1805 days,607 days,1236,46.5210355987055,13.620344136548946,-18.23647294589179,-0.199307975711982,4 days,2 days,0.7947071938306749,-0.17418796457351202,-3.2392679972442284,"                  Equity  DrawdownPct DrawdownDuration
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11  100151.17756     0.000000              NaT
2018-04-12  100917.40822     0.000000              NaT
2018-04-13  100275.48284     0.006361              NaT
...                  ...          ...              ...
2023-03-31    8739.87267     0.914488              NaT
2023-04-03    8628.37667     0.915579              NaT
2023-04-04    8668.99307     0.915181              NaT
2023-04-05    8567.63307     0.916173              NaT
2023-04-06    8462.12555     0.917205        1805 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     8769         2        3    11.40276      11.41    63.48756   0.000635   
1    -8787         3        4    11.38718      11.33   502.44066   0.005021   
2    -8893         4        5    11.30734      11.41  -912.95538  -0.009079   
3     8716         5        6    11.43282      11.57  1195.66088   0.011999   
4     8698         6        7    11.59314      11.78  1625.30828   0.016118   
...    ...       ...      ...         ...        ...         ...        ...   
1231   363      1253     1254    23.72736      23.74     4.58832   0.000533   
1232   362      1254     1255    23.78748      24.00    76.93224   0.008934   
1233   362      1255     1256    24.04800      23.90   -53.57600  -0.006154   
1234  -362      1256     1258    23.85220      24.24  -140.38360  -0.016258   
1235   350      1258     1258    24.28848      24.24   -16.96800  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-04-11 2018-04-12   1 days  
1    2018-04-12 2018-04-13   1 days  
2    2018-04-13 2018-04-16   3 days  
3    2018-04-16 2018-04-17   1 days  
4    2018-04-17 2018-04-18   1 days  
...         ...        ...      ...  
1231 2023-03-30 2023-03-31   1 days  
1232 2023-03-31 2023-04-03   3 days  
1233 2023-04-03 2023-04-04   1 days  
1234 2023-04-04 2023-04-06   2 days  
1235 2023-04-06 2023-04-06   0 days  

[1236 rows x 10 columns]",AES,OBV
