,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy,StrategyParameters
0,2018-04-05,2023-04-04,1825 days,97.69658459094519,5826.17169000011,100000.0,-94.17382830999989,78.6630654962863,-43.39164573162053,15.71331830938663,0.0,0.0,0.0,-94.5696219099999,-94.5696219099999,1785 days,1785 days,1230,42.60162601626016,7.598308206737636,-11.007138864790345,-0.23220273221921106,4 days,2 days,0.692858259838745,-0.21835617627136913,-4.393552202338041,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-29    5714.50695     0.942855              NaT
2023-03-30    5737.65495     0.942623              NaT
2023-03-31    5739.82071     0.942602              NaT
2023-04-03    5782.41751     0.942176              NaT
2023-04-04    5826.17169     0.941738        1785 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0    -2260        29       30    44.23136      44.70 -1059.12640  -0.010595   
1    -2217        30       31    44.61060      44.65   -87.34980  -0.000883   
2    -2218        31       32    44.56070      45.25 -1528.86740  -0.015469   
3    -2155        32       33    45.15950      45.32  -345.87750  -0.003554   
4    -2144        33       34    45.22936      44.73  1070.62784   0.011041   
...    ...       ...      ...         ...        ...         ...        ...   
1225    72      1254     1255    79.62894      79.25   -27.28368  -0.004759   
1226    72      1255     1256    79.40850      79.96    39.70800   0.006945   
1227    72      1256     1257    80.11992      79.60   -37.43424  -0.006489   
1228    71      1257     1258    79.75920      80.37    43.36680   0.007658   
1229   -72      1258     1258    80.20926      80.37   -11.57328  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-16 2018-05-17   1 days  
1    2018-05-17 2018-05-18   1 days  
2    2018-05-18 2018-05-21   3 days  
3    2018-05-21 2018-05-22   1 days  
4    2018-05-22 2018-05-23   1 days  
...         ...        ...      ...  
1225 2023-03-29 2023-03-30   1 days  
1226 2023-03-30 2023-03-31   1 days  
1227 2023-03-31 2023-04-03   3 days  
1228 2023-04-03 2023-04-04   1 days  
1229 2023-04-04 2023-04-04   0 days  

[1230 rows x 10 columns]",ADM,ADX,
0,2018-04-05,2023-04-04,1825 days,97.69658459094519,7457.966809999769,100000.0,-92.54203319000024,46.24713958810067,-40.52355557213875,19.064688328281807,0.0,0.0,0.0,-92.72525008000024,-92.72525008000024,1785 days,1785 days,1230,44.22764227642276,26.063662149385447,-12.046126686221337,-0.20939443377436806,4 days,2 days,0.7258243745078611,-0.19096378823564972,-4.47191103484079,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-29    7576.75263     0.924232              NaT
2023-03-30    7561.61985     0.924384              NaT
2023-03-31    7573.43451     0.924266              NaT
2023-04-03    7574.73321     0.924253              NaT
2023-04-04    7457.96681     0.925420        1785 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  \
0    -2223        29       30    44.97986      45.40 -933.97122  -0.009341   
1    -2186        30       31    45.30920      45.69 -832.42880  -0.008404   
2    -2154        31       32    45.59862      45.61  -24.51252  -0.000250   
3    -2157        32       33    45.51878      45.51   18.93846   0.000193   
4    -2162        33       34    45.41898      45.41   19.41476   0.000198   
...    ...       ...      ...         ...        ...        ...        ...   
1225   117      1254     1255    64.46868      64.67   23.55444   0.003123   
1226   117      1255     1256    64.79934      64.51  -33.85278  -0.004465   
1227   117      1256     1257    64.63902      64.45  -22.11534  -0.002924   
1228   117      1257     1258    64.57890      65.10   60.96870   0.008069   
1229   116      1258     1258    65.23020      65.10  -15.10320  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-05-16 2018-05-17   1 days  
1    2018-05-17 2018-05-18   1 days  
2    2018-05-18 2018-05-21   3 days  
3    2018-05-21 2018-05-22   1 days  
4    2018-05-22 2018-05-23   1 days  
...         ...        ...      ...  
1225 2023-03-29 2023-03-30   1 days  
1226 2023-03-30 2023-03-31   1 days  
1227 2023-03-31 2023-04-03   3 days  
1228 2023-04-03 2023-04-04   1 days  
1229 2023-04-04 2023-04-04   0 days  

[1230 rows x 10 columns]",AFL,ADX,
0,2018-04-05,2023-04-04,1825 days,97.69658459094519,5876.416440999847,100000.0,-94.12358355900015,82.14620032337672,-43.29426566657577,16.315482183714554,0.0,0.0,0.0,-94.39684991900015,-94.39684991900015,1785 days,1785 days,1230,42.4390243902439,6.369433250297951,-8.919127772037495,-0.2305425334567235,4 days,2 days,0.6932694936067344,-0.2170443599411358,-4.7290300813923904,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    5857.029821     0.941430              NaT
2023-03-30    5891.060181     0.941089              NaT
2023-03-31    5797.932341     0.942021              NaT
2023-04-03    5939.181181     0.940608              NaT
2023-04-04    5876.416441     0.941236        1785 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     -787        29       30   126.93562    127.900  -758.96706  -0.007597   
1     -777        30       31   127.64420    128.260  -478.47660  -0.004824   
2     -771        31       32   128.00348    129.210  -930.22692  -0.009426   
3     -758        32       33   128.95158    129.000   -36.70236  -0.000375   
4     -759        33       34   128.74200    127.400  1018.57800   0.010424   
...    ...       ...      ...         ...        ...         ...        ...   
1225    26      1254     1255   216.54222    220.570   104.72228   0.018600   
1226   -26      1255     1256   220.12886    220.920   -20.56964  -0.003594   
1227   -26      1256     1257   220.47816    218.540    50.39216   0.008791   
1228   -27      1257     1258   218.10292    216.155    52.59384   0.008931   
1229    27      1258     1258   216.58731    216.155   -11.67237  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-05-16 2018-05-17   1 days  
1    2018-05-17 2018-05-18   1 days  
2    2018-05-18 2018-05-21   3 days  
3    2018-05-21 2018-05-22   1 days  
4    2018-05-22 2018-05-23   1 days  
...         ...        ...      ...  
1225 2023-03-29 2023-03-30   1 days  
1226 2023-03-30 2023-03-31   1 days  
1227 2023-03-31 2023-04-03   3 days  
1228 2023-04-03 2023-04-04   1 days  
1229 2023-04-04 2023-04-04   0 days  

[1230 rows x 10 columns]",ADP,ADX,
0,2018-04-05,2023-04-04,1825 days,97.69658459094519,12070.782418399695,100580.20488000003,-87.92921758160031,71.73404610758436,-34.50604572376108,17.370918663567426,0.0,0.0,0.0,-87.99884884625054,-45.121533376813275,1771 days,892 days,1230,42.68292682926829,9.244552575779519,-9.499445467939738,-0.17118775926810992,4 days,2 days,0.7654975006286786,-0.15790034062660033,-3.5814240775752726,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29   12519.718688     0.875525              NaT
2023-03-30   12628.336168     0.874445              NaT
2023-03-31   12329.187418     0.877419              NaT
2023-04-03   12264.720618     0.878060              NaT
2023-04-04   12070.782418     0.879988        1771 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     1647        29       30    60.69114     60.800   179.29242   0.001794   
1     1644        30       31    60.92160     61.020   161.76960   0.001615   
2    -1647        31       32    60.89796     62.000 -1815.05988  -0.018097   
3    -1592        32       33    61.87600     62.100  -356.60800  -0.003620   
4    -1583        33       34    61.97580     61.220  1196.43140   0.012195   
...    ...       ...      ...         ...        ...         ...        ...   
1225   126      1254     1255    98.20602     99.380   147.92148   0.011954   
1226  -127      1255     1256    99.18124     99.915   -93.18752  -0.007398   
1227  -125      1256     1257    99.71517    100.800  -135.60375  -0.010879   
1228  -123      1257     1258   100.59840    101.900  -160.09680  -0.012939   
1229  -120      1258     1258   101.69620    101.900   -24.45600  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-16 2018-05-17   1 days  
1    2018-05-17 2018-05-18   1 days  
2    2018-05-18 2018-05-21   3 days  
3    2018-05-21 2018-05-22   1 days  
4    2018-05-22 2018-05-23   1 days  
...         ...        ...      ...  
1225 2023-03-29 2023-03-30   1 days  
1226 2023-03-30 2023-03-31   1 days  
1227 2023-03-31 2023-04-03   3 days  
1228 2023-04-03 2023-04-04   1 days  
1229 2023-04-04 2023-04-04   0 days  

[1230 rows x 10 columns]",ABT,ADX,
0,2018-04-05,2023-04-04,1825 days,97.69658459094519,5222.816176399892,112187.72933999999,-94.77718382360011,73.30007591367533,-44.616897691227294,14.693181151517203,0.0,0.0,0.0,-95.34457448499431,-11.481245348984048,1702 days,178 days,1230,41.6260162601626,8.109607576765153,-10.3056481094691,-0.24091911322435822,4 days,2 days,0.6834297268360905,-0.22719166187449838,-3.069330073802677,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    5334.800996     0.952448              NaT
2023-03-30    5327.012336     0.952517              NaT
2023-03-31    5268.705956     0.953037              NaT
2023-04-03    5223.611456     0.953439              NaT
2023-04-04    5222.816176     0.953446        1702 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     -959        29       30   104.25108     105.10  -814.11428  -0.008143   
1     -945        30       31   104.88980     105.27  -359.28900  -0.003625   
2     -940        31       32   105.05946     107.00 -1824.10760  -0.018471   
3     -908        32       33   106.78600     106.55   214.28800   0.002210   
4     -914        33       34   106.33690     105.85   445.02660   0.004579   
...    ...       ...      ...         ...        ...         ...        ...   
1225   -33      1254     1255   158.66204     158.01    21.51732   0.004110   
1226   -33      1255     1256   157.69398     158.43   -24.28866  -0.004667   
1227   -33      1256     1257   158.11314     158.25    -4.51638  -0.000866   
1228   -33      1257     1258   157.93350     160.51   -85.02450  -0.016314   
1229   -32      1258     1258   160.18898     160.51   -10.27264  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-16 2018-05-17   1 days  
1    2018-05-17 2018-05-18   1 days  
2    2018-05-18 2018-05-21   3 days  
3    2018-05-21 2018-05-22   1 days  
4    2018-05-22 2018-05-23   1 days  
...         ...        ...      ...  
1225 2023-03-29 2023-03-30   1 days  
1226 2023-03-30 2023-03-31   1 days  
1227 2023-03-31 2023-04-03   3 days  
1228 2023-04-03 2023-04-04   1 days  
1229 2023-04-04 2023-04-04   0 days  

[1230 rows x 10 columns]",ABBV,ADX,
0,2018-04-05,2023-04-04,1825 days,97.69658459094519,17922.783511600006,101519.42195999996,-82.0772164884,-53.240042072529384,-29.113670259708247,19.451416176168117,0.0,0.0,0.0,-82.3454633945199,-18.572990603036114,1680 days,357 days,1230,43.65853658536585,10.158663191043738,-8.345068515409192,-0.13769398164573676,4 days,2 days,0.8107197420707484,-0.12387977218276515,-2.5293330556162,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29   18182.203312     0.820899              NaT
2023-03-30   18074.700812     0.821958              NaT
2023-03-31   18446.225812     0.818299              NaT
2023-04-03   18517.923312     0.817592              NaT
2023-04-04   17922.783512     0.823455        1680 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0      497        29       30   200.92104     199.27  -820.56688  -0.008217   
1      496        30       31   199.66854     200.28   303.28416   0.003062   
2      495        31       32   200.68056     200.50   -89.37720  -0.000900   
3      494        32       33   200.90100     201.96   523.14600   0.005271   
4      493        33       34   202.36392     197.74 -2279.59256  -0.022850   
...    ...       ...      ...         ...        ...         ...        ...   
1225   176      1254     1255   103.01562     103.75   129.25088   0.007129   
1226   175      1255     1256   103.95750     103.50   -80.06250  -0.004401   
1227   175      1256     1257   103.70700     105.15   252.52500   0.013914   
1228  -175      1257     1258   104.93970     104.90     6.94750   0.000378   
1229  -176      1258     1258   104.69020     104.90   -36.92480  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-16 2018-05-17   1 days  
1    2018-05-17 2018-05-18   1 days  
2    2018-05-18 2018-05-21   3 days  
3    2018-05-21 2018-05-22   1 days  
4    2018-05-22 2018-05-23   1 days  
...         ...        ...      ...  
1225 2023-03-29 2023-03-30   1 days  
1226 2023-03-30 2023-03-31   1 days  
1227 2023-03-31 2023-04-03   3 days  
1228 2023-04-03 2023-04-04   1 days  
1229 2023-04-04 2023-04-04   0 days  

[1230 rows x 10 columns]",MMM,ADX,
0,2018-04-05,2023-04-04,1825 days,97.69658459094519,5621.2499999999,104578.07032000003,-94.3787500000001,1.3080947983994986,-43.795901881966834,17.807437106007338,0.0,0.0,0.0,-94.6248291034637,-19.356669321579307,1769 days,357 days,1230,43.73983739837398,12.8593095602473,-8.372231914124518,-0.23063767733682017,4 days,2 days,0.7434977460772605,-0.21189442843565243,-3.5556899840274414,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-29    5898.57682     0.943596              NaT
2023-03-30    5971.42082     0.942900              NaT
2023-03-31    5853.26570     0.944030              NaT
2023-04-03    5867.29100     0.943896              NaT
2023-04-04    5621.25000     0.946248        1769 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     1581        29       30    63.21618      63.07  -231.11058  -0.002312   
1     1578        30       31    63.19614      63.24    69.21108   0.000694   
2     1575        31       32    63.36648      64.13  1202.54400   0.012049   
3     1572        32       33    64.25826      64.64   600.09528   0.005941   
4    -1575        33       34    64.51072      63.48  1623.38400   0.015977   
...    ...       ...      ...         ...        ...         ...        ...   
1225   -86      1254     1255    68.69234      69.50   -69.45876  -0.011758   
1226   -84      1255     1256    69.36100      68.46    75.68400   0.012990   
1227   -86      1256     1257    68.32308      68.91   -50.47512  -0.008590   
1228   -85      1257     1258    68.77218      68.65    10.38530   0.001777   
1229   -85      1258     1258    68.51270      68.65   -11.67050  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-16 2018-05-17   1 days  
1    2018-05-17 2018-05-18   1 days  
2    2018-05-18 2018-05-21   3 days  
3    2018-05-21 2018-05-22   1 days  
4    2018-05-22 2018-05-23   1 days  
...         ...        ...      ...  
1225 2023-03-29 2023-03-30   1 days  
1226 2023-03-30 2023-03-31   1 days  
1227 2023-03-31 2023-04-03   3 days  
1228 2023-04-03 2023-04-04   1 days  
1229 2023-04-04 2023-04-04   0 days  

[1230 rows x 10 columns]",AOS,ADX,
0,2018-04-05,2023-04-04,1825 days,97.69658459094519,5184.47926735789,100071.926704,-94.81552073264211,88.586123110755,-44.69850763643367,15.563887965835635,0.0,0.0,0.0,-95.45588844231165,-95.45588844231165,1784 days,1784 days,1230,39.75609756097561,8.058266367136657,-11.800814562324735,-0.24183318104062934,4 days,2 days,0.6882280539314423,-0.22692060917170273,-5.9728287807320175,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    5342.729307     0.946611              NaT
2023-03-30    5282.593307     0.947212              NaT
2023-03-31    5215.700987     0.947880              NaT
2023-04-03    5204.958947     0.947988              NaT
2023-04-04    5184.479267     0.948192        1784 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  \
0     -648        29       30  154.191000  154.410004 -141.914592  -0.001420   
1     -648        30       31  154.101184  155.000000 -582.432773  -0.005833   
2     -641        31       32  154.690000  156.020004 -852.532564  -0.008598   
3     -632        32       33  155.707964  156.970001 -797.607389  -0.008105   
4     -623        33       34  156.656061  155.289993  851.060363   0.008720   
...    ...       ...      ...         ...         ...         ...        ...   
1225   -19      1254     1255  275.448000  281.000000 -105.488000  -0.020156   
1226   -18      1255     1256  280.438000  283.120000  -48.276000  -0.009564   
1227   -18      1256     1257  282.553760  283.390000  -15.052320  -0.002960   
1228   -18      1257     1258  282.823220  284.440000  -29.102040  -0.005717   
1229   -18      1258     1258  283.871120  284.440000  -10.239840  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-16 2018-05-17   1 days  
1    2018-05-17 2018-05-18   1 days  
2    2018-05-18 2018-05-21   3 days  
3    2018-05-21 2018-05-22   1 days  
4    2018-05-22 2018-05-23   1 days  
...         ...        ...      ...  
1225 2023-03-29 2023-03-30   1 days  
1226 2023-03-30 2023-03-31   1 days  
1227 2023-03-31 2023-04-03   3 days  
1228 2023-04-03 2023-04-04   1 days  
1229 2023-04-04 2023-04-04   0 days  

[1230 rows x 10 columns]",ACN,ADX,
0,2018-04-05,2023-04-04,1825 days,97.69658459094519,8066.36314319989,118255.90699319991,-91.9336368568001,72.29578598908472,-39.582622122165155,23.21152316277181,0.0,0.0,0.0,-93.17889199085528,-20.171932368901714,1547 days,255 days,1230,43.73983739837398,11.650669760573784,-12.735073187769553,-0.20614624079215993,4 days,2 days,0.8004517279326346,-0.18099776924953967,-2.334790460030465,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    8274.833743     0.930026              NaT
2023-03-30    8198.774443     0.930669              NaT
2023-03-31    8109.848263     0.931421              NaT
2023-04-03    8204.941303     0.930617              NaT
2023-04-04    8066.363143     0.931789        1547 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     -423        29       30   236.11682     237.32  -508.94514  -0.005096   
1     -420        30       31   236.84536     236.24   254.25120   0.002556   
2     -423        31       32   235.76752     239.85 -1726.88904  -0.017316   
3     -409        32       33   239.37030     241.15  -727.89730  -0.007435   
4     -404        33       34   240.66770     236.32  1756.47080   0.018065   
...    ...       ...      ...         ...        ...         ...        ...   
1225   -22      1254     1255   375.92664     381.65  -125.91392  -0.015225   
1226   -21      1255     1256   380.88670     382.29   -29.46930  -0.003684   
1227   -21      1256     1257   381.52542     380.88    13.55382   0.001692   
1228   -21      1257     1258   380.11824     382.24   -44.55696  -0.005582   
1229   -21      1258     1258   381.47552     382.24   -16.05408  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-16 2018-05-17   1 days  
1    2018-05-17 2018-05-18   1 days  
2    2018-05-18 2018-05-21   3 days  
3    2018-05-21 2018-05-22   1 days  
4    2018-05-22 2018-05-23   1 days  
...         ...        ...      ...  
1225 2023-03-29 2023-03-30   1 days  
1226 2023-03-30 2023-03-31   1 days  
1227 2023-03-31 2023-04-03   3 days  
1228 2023-04-03 2023-04-04   1 days  
1229 2023-04-04 2023-04-04   0 days  

[1230 rows x 10 columns]",ADBE,ADX,
0,2018-04-05,2023-04-04,1825 days,97.69658459094519,5331.1644661999735,100926.09792,-94.66883553380002,27.927250864271752,-44.38881314603642,21.017089278876906,0.0,0.0,0.0,-94.71775430134456,-94.71775430134456,1784 days,1784 days,1230,43.49593495934959,16.278514905962773,-35.86322512191127,-0.23831582903093285,4 days,2 days,0.7420420831889659,-0.21084620937399326,-3.599398555971053,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    5420.669746     0.946291              NaT
2023-03-30    5387.731246     0.946617              NaT
2023-03-31    5332.927546     0.947160              NaT
2023-04-03    5338.636706     0.947104              NaT
2023-04-04    5331.164466     0.947178        1784 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0    -1408        29       30    70.98774      70.30   968.33792   0.009688   
1    -1439        30       31    70.15940      71.52 -1957.90340  -0.019393   
2    -1387        31       32    71.37696      72.50 -1557.65648  -0.015734   
3    -1346        32       33    72.35500      71.95   545.13000   0.005597   
4    -1364        33       34    71.80610      70.73  1467.80040   0.014986   
...    ...       ...      ...         ...        ...         ...        ...   
1225   -64      1254     1255    84.21623      84.75   -34.16128  -0.006338   
1226   -63      1255     1256    84.58050      84.95   -23.27850  -0.004369   
1227   -63      1256     1257    84.78010      85.41   -39.68370  -0.007430   
1228   -62      1257     1258    85.23918      85.13     6.76916   0.001281   
1229   -62      1258     1258    84.95974      85.13   -10.55612  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-16 2018-05-17   1 days  
1    2018-05-17 2018-05-18   1 days  
2    2018-05-18 2018-05-21   3 days  
3    2018-05-21 2018-05-22   1 days  
4    2018-05-22 2018-05-23   1 days  
...         ...        ...      ...  
1225 2023-03-29 2023-03-30   1 days  
1226 2023-03-30 2023-03-31   1 days  
1227 2023-03-31 2023-04-03   3 days  
1228 2023-04-03 2023-04-04   1 days  
1229 2023-04-04 2023-04-04   0 days  

[1230 rows x 10 columns]",ATVI,ADX,
