,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy
0,2018-04-05,2023-03-31,1821 days,0.0,100000.0,100000.0,0.0,49.52027266025875,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-07  100000.0          0.0               NaN
2018-04-08  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN

[1822 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ETCUSD,EBSW
0,2018-04-05,2023-03-31,1821 days,0.0,100000.0,100000.0,0.0,313.79881495712596,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-07  100000.0          0.0               NaN
2018-04-08  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN

[1822 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",BTCUSD,EBSW
0,2018-04-05,2023-03-31,1821 days,0.0,100000.0,100000.0,0.0,371.041405059138,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-07  100000.0          0.0               NaN
2018-04-08  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN

[1822 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ETHUSD,EBSW
0,2018-04-05,2023-03-31,1821 days,6.092206366630077,74831.43079825993,103117.99802935398,-25.16856920174007,-58.75294797131444,-5.642734886669909,17.531064507932683,0.0,0.0,0.0,-47.988442192455615,-25.981642592347804,1565 days 00:00:00,784 days 00:00:00,20,35.0,24.90838751324036,-10.51374790193389,-1.4391868345606906,24 days 00:00:00,5 days 00:00:00,0.8595430840163646,-0.7578782257446887,-0.6777457355640469,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27   74831.430798     0.274313              NaT
2023-03-28   74831.430798     0.274313              NaT
2023-03-29   74831.430798     0.274313              NaT
2023-03-30   74831.430798     0.274313              NaT
2023-03-31   74831.430798     0.274313        1565 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  ReturnPct  \
0  -267255       254      255    0.374174   0.389297  -4041.656742  -0.040417   
1   245999       255      257    0.390076   0.420291   7432.959661   0.077460   
2  -246492       257      258    0.419450   0.461098 -10265.795782  -0.099291   
3   182539       268      278    0.510166   0.481540  -5225.415446  -0.056112   
4  -182905       278      281    0.480577   0.453509   4950.857908   0.056324   
5   204330       281      283    0.454416   0.407550  -9576.194757  -0.103135   
6  -190833       290      293    0.436375   0.423875   2385.317465   0.028644   
7   201684       293      298    0.424723   0.381501  -8717.135427  -0.101765   
8  -203404       312      316    0.378275   0.416915  -7859.625346  -0.102149   
9   162173       326      337    0.425983   0.418514  -1211.313275  -0.017534   
10 -162498       337      339    0.417677   0.459787  -6842.762830  -0.100819   
11   88911       355      358    0.686402   0.857374  15201.263574   0.249084   
12  -77706       362      363    0.981006   1.025613  -3466.227190  -0.045471   
13   70805       363      364    1.027664   0.919618  -7650.198871  -0.105137   
14  -69785       547      549    0.933061   0.912324   1447.141175   0.022225   
15   72812       549      566    0.914149   0.821281  -6761.842780  -0.101589   
16  -68232       573      573    0.876412   0.966781  -6166.094180  -0.103113   
17   61823       577      581    0.867517   1.081910  13254.445023   0.247135   
18  -87977      1737     1740    0.760286   0.838314  -6864.671116  -0.102630   
19   59445      1746     1770    1.009714   1.258825  14808.379736   0.246714   

    EntryTime   ExitTime Duration  
0  2018-12-15 2018-12-16   1 days  
1  2018-12-16 2018-12-18   2 days  
2  2018-12-18 2018-12-19   1 days  
3  2018-12-29 2019-01-08  10 days  
4  2019-01-08 2019-01-11   3 days  
5  2019-01-11 2019-01-13   2 days  
6  2019-01-20 2019-01-23   3 days  
7  2019-01-23 2019-01-28   5 days  
8  2019-02-11 2019-02-15   4 days  
9  2019-02-25 2019-03-08  11 days  
10 2019-03-08 2019-03-10   2 days  
11 2019-03-26 2019-03-29   3 days  
12 2019-04-02 2019-04-03   1 days  
13 2019-04-03 2019-04-04   1 days  
14 2019-10-04 2019-10-06   2 days  
15 2019-10-06 2019-10-23  17 days  
16 2019-10-30 2019-10-30   0 days  
17 2019-11-03 2019-11-07   4 days  
18 2023-01-06 2023-01-09   3 days  
19 2023-01-15 2023-02-08  24 days  ",XTZUSD,EBSW
0,2018-04-05,2023-03-31,1821 days,60.42810098792536,6174.605479557947,100907.532212526,-93.82539452044206,62.62308192132754,-42.756842631068814,35.603388758123245,0.0,0.0,0.0,-94.92392851132463,-50.32685385889933,1779 days 00:00:00,891 days 00:00:00,233,52.36051502145923,27.144119229964005,-11.799603830395222,-1.1880493356781763,16 days 00:00:00,5 days 00:00:00,0.7884927638992366,-0.8312152317593231,-2.1478750870819754,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27    6066.906916     0.939877              NaT
2023-03-28    6127.098637     0.939280              NaT
2023-03-29    6139.022512     0.939162              NaT
2023-03-30    6185.382538     0.938702              NaT
2023-03-31    6174.605480     0.938809        1779 days

[1822 rows x 3 columns]","        Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  \
0   -1469407        41       45    0.068055   0.075423 -10826.564327   
1    1252275        51       53    0.071209   0.064151  -8838.599527   
2   -1623521        76       81    0.049482   0.042391  11512.124401   
3    2162337        81       83    0.042476   0.038187  -9273.792004   
4   -2129585        90       93    0.038774   0.036927   3933.973852   
..       ...       ...      ...         ...        ...           ...   
228   -79323      1792     1795    0.069724   0.066716    238.625160   
229    86304      1795     1799    0.066849   0.060035   -588.078218   
230   -77341      1805     1813    0.066993   0.059926    546.549202   
231    95391      1813     1821    0.060046   0.064859    459.131001   
232   -95582      1821     1821    0.064729   0.064859    -12.398706   

     ReturnPct  EntryTime   ExitTime Duration  
0    -0.108266 2018-05-16 2018-05-20   4 days  
1    -0.099117 2018-05-26 2018-05-28   2 days  
2     0.143302 2018-06-20 2018-06-25   5 days  
3    -0.100970 2018-06-25 2018-06-27   2 days  
4     0.047642 2018-07-04 2018-07-07   3 days  
..         ...        ...        ...      ...  
228   0.043145 2023-03-02 2023-03-05   3 days  
229  -0.101931 2023-03-05 2023-03-09   4 days  
230   0.105485 2023-03-15 2023-03-23   8 days  
231   0.080158 2023-03-23 2023-03-31   8 days  
232  -0.002004 2023-03-31 2023-03-31   0 days  

[233 rows x 10 columns]",TRXUSD,EBSW
0,2018-04-05,2023-03-31,1821 days,4.994511525795828,106255.06384352598,106255.06384352598,6.255063843525975,-81.40466341317104,1.2228601303203357,13.534518897623885,0.0903512078685723,0.13533736524916576,0.06735292341685906,-18.156006722259697,-16.66969106983985,170 days 00:00:00,120 days 00:00:00,8,50.0,24.858969343537286,-10.174016735351376,0.7612867428947068,38 days 00:00:00,12 days 00:00:00,1.4037292514605224,1.2227891145142735,0.23504788180451333,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000          0.0              NaT
2018-04-06  100000.000000          0.0              NaT
2018-04-07  100000.000000          0.0              NaT
2018-04-08  100000.000000          0.0              NaT
2018-04-09  100000.000000          0.0              NaT
...                   ...          ...              ...
2023-03-27  106255.063844          0.0              NaT
2023-03-28  106255.063844          0.0              NaT
2023-03-29  106255.063844          0.0              NaT
2023-03-30  106255.063844          0.0              NaT
2023-03-31  106255.063844          0.0              NaT

[1822 rows x 3 columns]","     Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  ReturnPct  \
0 -108369      1540     1541    0.922767   0.974228  -5576.802251  -0.055768   
1   96727      1541     1547    0.976176   0.876860  -9606.573167  -0.101740   
2  -91116      1697     1699    0.930855   0.902523   2581.458421   0.030436   
3   96644      1699     1703    0.904328   0.941985   3639.318662   0.041641   
4  -96837      1703     1704    0.940101   0.921811   1771.151635   0.019455   
5  100479      1704     1737    0.923655   0.891917  -3188.964521  -0.034361   
6 -100681      1737     1741    0.890133   0.935022  -4519.452696  -0.050429   
7   90832      1741     1779    0.936892   1.169794  21154.927759   0.248590   

   EntryTime   ExitTime Duration  
0 2022-06-23 2022-06-24   1 days  
1 2022-06-24 2022-06-30   6 days  
2 2022-11-27 2022-11-29   2 days  
3 2022-11-29 2022-12-03   4 days  
4 2022-12-03 2022-12-04   1 days  
5 2022-12-04 2023-01-06  33 days  
6 2023-01-06 2023-01-10   4 days  
7 2023-01-10 2023-02-17  38 days  ",EOSUSD,EBSW
0,2018-04-05,2023-03-31,1821 days,0.0,100000.0,100000.0,0.0,-81.07725481068195,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-07  100000.0          0.0               NaN
2018-04-08  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN

[1822 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",BCHUSD,EBSW
0,2018-04-05,2023-03-31,1821 days,0.0,100000.0,100000.0,0.0,-79.29861249343946,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-07  100000.0          0.0               NaN
2018-04-08  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN

[1822 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ZECUSD,EBSW
0,2018-04-05,2023-03-31,1821 days,0.0,100000.0,100000.0,0.0,-81.20870457128323,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-07  100000.0          0.0               NaN
2018-04-08  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN

[1822 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",DASHUSD,EBSW
0,2018-04-05,2023-03-31,1821 days,0.0,100000.0,100000.0,0.0,-24.41487648529008,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-07  100000.0          0.0               NaN
2018-04-08  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN

[1822 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",LTCUSD,EBSW
