,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy
0,2018-04-05,2023-03-31,1821 days,82.21734357848518,294.0322807732212,357509.2240571439,-99.70596771922679,-81.07725481068195,-68.89391720536436,35.86860163438745,0.0,0.0,0.0,-99.92368319123156,-18.94130621207255,1567 days,120 days,1489,48.42175957018133,42.83800353791941,-51.13725032182484,-0.42224079948087745,1 days,1 days,0.8674345898914874,-0.25652523611666356,-0.5333526036377934,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27     299.981333     0.999161              NaT
2023-03-28     298.513919     0.999165              NaT
2023-03-29     293.290467     0.999180              NaT
2023-03-30     297.207211     0.999169              NaT
2023-03-31     294.032281     0.999178        1567 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar   EntryPrice    ExitPrice           PnL  \
0      -87        17       18  1145.185021  1194.709961  -4308.669811   
1      -80        18       19  1192.320541  1434.010010 -19335.157506   
2      -53        19       20  1431.141990  1426.709961    234.897531   
3      -53        20       21  1423.856541  1289.540039   7118.774600   
4      -65        21       22  1286.960959  1422.060059  -8781.441473   
...    ...       ...      ...          ...          ...           ...   
1484    -2      1817     1818   124.576554   120.510948      8.131211   
1485    -2      1818     1819   120.269926   121.012397     -1.484942   
1486    -2      1819     1820   120.770372   123.349456     -5.158168   
1487    -2      1820     1821   123.102757   121.170831      3.863852   
1488    -2      1821     1821   120.928489   121.170831     -0.484683   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.043246 2018-04-22 2018-04-23   1 days  
1     -0.202705 2018-04-23 2018-04-24   1 days  
2      0.003097 2018-04-24 2018-04-25   1 days  
3      0.094333 2018-04-25 2018-04-26   1 days  
4     -0.104975 2018-04-26 2018-04-27   1 days  
...         ...        ...        ...      ...  
1484   0.032635 2023-03-27 2023-03-28   1 days  
1485  -0.006173 2023-03-28 2023-03-29   1 days  
1486  -0.021355 2023-03-29 2023-03-30   1 days  
1487   0.015694 2023-03-30 2023-03-31   1 days  
1488  -0.002004 2023-03-31 2023-03-31   0 days  

[1489 rows x 10 columns]",BCHUSD,Aberration
0,2018-04-05,2023-03-31,1821 days,99.06695938529089,13.450402156179276,144602.7607110941,-99.98654959784382,62.62308192132754,-83.23234947567745,22.11136145712006,0.0,0.0,0.0,-99.99069837803232,-32.26492500626943,1690 days,361 days,1805,45.65096952908587,40.82504631905321,-40.3424207087459,-0.49246534475427817,1 days,1 days,0.8187944840820041,-0.35032385241313585,-1.029491869610128,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27      13.902908     0.999904              NaT
2023-03-28      13.737638     0.999905              NaT
2023-03-29      13.683353     0.999905              NaT
2023-03-30      13.552420     0.999906              NaT
2023-03-31      13.450402     0.999907        1690 days

[1822 rows x 3 columns]","         Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  \
0    -1876166        17       18    0.053300   0.052430   1632.613387   
1    -1942328        18       19    0.052325   0.058349 -11700.311946   
2    -1544371        19       20    0.058232   0.071681 -20769.779179   
3     -966799        20       21    0.071538   0.069983   1503.022464   
4    -1011776        21       22    0.069843   0.074894  -5110.446176   
...       ...       ...      ...         ...        ...           ...   
1800     -215      1817     1818    0.064073   0.063607      0.100104   
1801     -218      1818     1819    0.063480   0.064241     -0.165945   
1802     -214      1819     1820    0.064113   0.064356     -0.052105   
1803     -213      1820     1821    0.064227   0.064859     -0.134555   
1804     -209      1821     1821    0.064729   0.064859     -0.027111   

      ReturnPct  EntryTime   ExitTime Duration  
0      0.016326 2018-04-22 2018-04-23   1 days  
1     -0.115124 2018-04-23 2018-04-24   1 days  
2     -0.230949 2018-04-24 2018-04-25   1 days  
3      0.021732 2018-04-25 2018-04-26   1 days  
4     -0.072319 2018-04-26 2018-04-27   1 days  
...         ...        ...        ...      ...  
1800   0.007267 2023-03-27 2023-03-28   1 days  
1801  -0.011991 2023-03-28 2023-03-29   1 days  
1802  -0.003798 2023-03-29 2023-03-30   1 days  
1803  -0.009836 2023-03-30 2023-03-31   1 days  
1804  -0.002004 2023-03-31 2023-03-31   0 days  

[1805 rows x 10 columns]",TRXUSD,Aberration
0,2018-04-05,2023-03-31,1821 days,99.06695938529089,5.376276909442249,160239.98480518267,-99.99462372309056,-58.75294797131444,-86.04626928983625,23.192338302807592,0.0,0.0,0.0,-99.9969044847505,-42.54006580912492,1576 days,451 days,1805,47.202216066481995,45.58425924676295,-36.36555688752201,-0.5486043484653869,1 days,1 days,0.8541910802895718,-0.34585653287010937,-1.0470800646952396,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27       5.629319     0.999965              NaT
2023-03-28       5.558037     0.999965              NaT
2023-03-29       5.310417     0.999967              NaT
2023-03-30       5.414683     0.999966              NaT
2023-03-31       5.376277     0.999966        1576 days

[1822 rows x 3 columns]","       Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  \
0    -33452        17       18    2.989289   3.148700  -5332.602053   
1    -30125        18       19    3.142403   3.456050  -9448.624912   
2    -24707        19       20    3.449138   4.180380 -18066.798560   
3    -16095        20       21    4.172019   3.578120   9558.806662   
4    -21481        21       22    3.570964   3.513440   1235.670037   
...     ...       ...      ...         ...        ...           ...   
1800     -4      1817     1818    1.137157   1.078247      0.235641   
1801     -5      1818     1819    1.076091   1.089955     -0.069322   
1802     -5      1819     1820    1.087775   1.137263     -0.247440   
1803     -4      1820     1821    1.134988   1.109133      0.103422   
1804     -4      1821     1821    1.106915   1.109133     -0.008873   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.053327 2018-04-22 2018-04-23   1 days  
1     -0.099811 2018-04-23 2018-04-24   1 days  
2     -0.212007 2018-04-24 2018-04-25   1 days  
3      0.142353 2018-04-25 2018-04-26   1 days  
4      0.016109 2018-04-26 2018-04-27   1 days  
...         ...        ...        ...      ...  
1800   0.051805 2023-03-27 2023-03-28   1 days  
1801  -0.012884 2023-03-28 2023-03-29   1 days  
1802  -0.045495 2023-03-29 2023-03-30   1 days  
1803   0.022780 2023-03-30 2023-03-31   1 days  
1804  -0.002004 2023-03-31 2023-03-31   0 days  

[1805 rows x 10 columns]",XTZUSD,Aberration
0,2018-04-05,2023-03-31,1821 days,41.218441273326015,8332.608947772,129938.24025244084,-91.66739105222801,313.79881495712596,-39.214386516755894,24.21774870918173,0.0,0.0,0.0,-93.58725427435095,-17.31855678408959,1568 days,180 days,749,44.192256341789054,36.46536937902752,-18.275868615050307,-0.3598493583977125,1 days,1 days,0.7882404214180514,-0.28787405448977266,-1.510552833129764,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27    8332.608948     0.935873              NaT
2023-03-28    8332.608948     0.935873              NaT
2023-03-29    8332.608948     0.935873              NaT
2023-03-30    8332.608948     0.935873              NaT
2023-03-31    8332.608948     0.935873        1568 days

[1822 rows x 3 columns]","     Size  EntryBar  ExitBar   EntryPrice    ExitPrice          PnL  \
0     -11        17       18  8907.209451  8794.389648  1241.017830   
1     -11        18       19  8776.800869  8934.339844 -1732.928722   
2     -11        19       20  8916.471164  9701.030273 -8630.150202   
3      -9        20       21  9681.628213  8867.320312  7328.771103   
4     -11        21       22  8849.585672  9290.629883 -4851.486320   
..    ...       ...      ...          ...          ...          ...   
744    -1       761      762  8895.006367  9007.441406  -112.435039   
745    -1       762      763  8989.426523  9261.895508  -272.468984   
746    -1       767      768  8738.024086  8610.385742   127.638344   
747    -1       768      769  8593.164971  8805.387695  -212.222725   
748    -1       769      770  8787.776920  9271.329102  -483.552182   

     ReturnPct  EntryTime   ExitTime Duration  
0     0.012666 2018-04-22 2018-04-23   1 days  
1    -0.017949 2018-04-23 2018-04-24   1 days  
2    -0.087990 2018-04-24 2018-04-25   1 days  
3     0.084109 2018-04-25 2018-04-26   1 days  
4    -0.049838 2018-04-26 2018-04-27   1 days  
..         ...        ...        ...      ...  
744  -0.012640 2020-05-05 2020-05-06   1 days  
745  -0.030310 2020-05-06 2020-05-07   1 days  
746   0.014607 2020-05-11 2020-05-12   1 days  
747  -0.024697 2020-05-12 2020-05-13   1 days  
748  -0.055026 2020-05-13 2020-05-14   1 days  

[749 rows x 10 columns]",BTCUSD,Aberration
0,2018-04-05,2023-03-31,1821 days,99.06695938529089,38.41668149549908,155658.85298435,-99.96158331850451,-81.40466341317104,-79.30910756739601,32.47540581715933,0.0,0.0,0.0,-99.97531995080334,-51.1295770063357,1575 days,450 days,1805,47.257617728531855,40.250472064156384,-56.71275740424131,-0.43594806174405143,1 days,1 days,0.8781362109698652,-0.25180478464103473,-1.0367904375985266,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27      42.622240     0.999726              NaT
2023-03-28      41.443441     0.999734              NaT
2023-03-29      40.041868     0.999743              NaT
2023-03-30      38.568715     0.999752              NaT
2023-03-31      38.416681     0.999753        1575 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  ReturnPct  \
0    -9048        17       18   11.051253  11.333400  -2552.866952  -0.025531   
1    -8615        18       19   11.310733  11.725200  -3570.630617  -0.036644   
2    -8022        19       20   11.701749  15.100800 -27267.181502  -0.290474   
3    -4419        20       21   15.070598  14.433000   2817.547333   0.042307   
4    -4819        21       22   14.404134  15.471600  -5144.118650  -0.074108   
...    ...       ...      ...         ...        ...           ...        ...   
1800   -35      1817     1818    1.138957   1.085851      1.858693   0.046626   
1801   -39      1818     1819    1.083679   1.114836     -1.215111  -0.028751   
1802   -37      1819     1820    1.112606   1.150450     -1.400216  -0.034014   
1803   -34      1820     1821    1.148149   1.190687     -1.446289  -0.037049   
1804   -32      1821     1821    1.188306   1.190687     -0.076204  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-22 2018-04-23   1 days  
1    2018-04-23 2018-04-24   1 days  
2    2018-04-24 2018-04-25   1 days  
3    2018-04-25 2018-04-26   1 days  
4    2018-04-26 2018-04-27   1 days  
...         ...        ...      ...  
1800 2023-03-27 2023-03-28   1 days  
1801 2023-03-28 2023-03-29   1 days  
1802 2023-03-29 2023-03-30   1 days  
1803 2023-03-30 2023-03-31   1 days  
1804 2023-03-31 2023-03-31   0 days  

[1805 rows x 10 columns]",EOSUSD,Aberration
0,2018-04-05,2023-03-31,1821 days,54.50054884742042,882.1034258688061,253052.06536802056,-99.11789657413121,371.041405059138,-61.23611076244505,28.901006464426082,0.0,0.0,0.0,-99.65142197057907,-17.795529386667262,1568 days,138 days,991,46.01412714429869,42.01681654840288,-26.404377579566972,-0.5106802959814916,1 days,1 days,0.7853747055174967,-0.39372297322311667,-0.7477090544945217,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27     882.103426     0.996514              NaT
2023-03-28     882.103426     0.996514              NaT
2023-03-29     882.103426     0.996514              NaT
2023-03-30     882.103426     0.996514              NaT
2023-03-31     882.103426     0.996514        1568 days

[1822 rows x 3 columns]","     Size  EntryBar  ExitBar   EntryPrice    ExitPrice           PnL  \
0    -165        17       18   604.906781   621.198975  -2688.212016   
1    -156        18       19   619.956577   643.398010  -3656.863649   
2    -145        19       20   642.111214   707.062012  -9417.865626   
3    -119        20       21   705.647888   618.078979  10420.700073   
4    -153        21       22   616.842822   662.109009  -6925.726651   
..    ...       ...      ...          ...          ...           ...   
986    -1      1003     1004   728.941844   774.511841    -45.569997   
987    -1      1004     1005   772.962817   977.058838   -204.096021   
988    -1      1005     1006   975.104720  1041.498779    -66.394059   
989    -1      1006     1007  1039.415782  1101.005005    -61.589223   
990    -1      1536     1537   991.694740  1127.122582   -135.427842   

     ReturnPct  EntryTime   ExitTime Duration  
0    -0.026933 2018-04-22 2018-04-23   1 days  
1    -0.037811 2018-04-23 2018-04-24   1 days  
2    -0.101152 2018-04-24 2018-04-25   1 days  
3     0.124097 2018-04-25 2018-04-26   1 days  
4    -0.073384 2018-04-26 2018-04-27   1 days  
..         ...        ...        ...      ...  
986  -0.062515 2021-01-02 2021-01-03   1 days  
987  -0.264044 2021-01-03 2021-01-04   1 days  
988  -0.068089 2021-01-04 2021-01-05   1 days  
989  -0.059254 2021-01-05 2021-01-06   1 days  
990  -0.136562 2022-06-19 2022-06-20   1 days  

[991 rows x 10 columns]",ETHUSD,Aberration
0,2018-04-05,2023-03-31,1821 days,93.68825466520308,83.01155617774248,248405.74083167137,-99.91698844382225,-24.41487648529008,-75.85578124125234,25.44807399037622,0.0,0.0,0.0,-99.9665894335212,-15.042369174859887,1568 days,112 days,1700,47.529411764705884,36.44358445521597,-29.83534742735845,-0.4748884148718324,1 days,1 days,0.8225621792800224,-0.3451274859122328,-0.7484182829631072,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27      83.011556     0.999666              NaT
2023-03-28      83.011556     0.999666              NaT
2023-03-29      83.011556     0.999666              NaT
2023-03-30      83.011556     0.999666              NaT
2023-03-31      83.011556     0.999666        1568 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice           PnL  \
0     -674        17       18  148.310786  146.671997   1104.543514   
1     -690        18       19  146.378653  152.574997  -4275.477218   
2     -635        19       20  152.269847  165.087006  -8138.895771   
3     -538        20       21  164.756832  144.699005  10791.110651   
4     -688        21       22  144.409607  153.444000  -6215.662460   
...    ...       ...      ...         ...         ...           ...   
1695    -1      1808     1809   85.508074   83.235211      2.272863   
1696    -1      1809     1810   83.068741   84.226407     -1.157666   
1697    -1      1810     1811   84.057954   78.271836      5.786118   
1698    -1      1811     1812   78.115292   82.748020     -4.632728   
1699    -1      1812     1813   82.582524   87.449672     -4.867148   

      ReturnPct  EntryTime   ExitTime Duration  
0      0.011050 2018-04-22 2018-04-23   1 days  
1     -0.042331 2018-04-23 2018-04-24   1 days  
2     -0.084174 2018-04-24 2018-04-25   1 days  
3      0.121742 2018-04-25 2018-04-26   1 days  
4     -0.062561 2018-04-26 2018-04-27   1 days  
...         ...        ...        ...      ...  
1695   0.026581 2023-03-18 2023-03-19   1 days  
1696  -0.013936 2023-03-19 2023-03-20   1 days  
1697   0.068835 2023-03-20 2023-03-21   1 days  
1698  -0.059306 2023-03-21 2023-03-22   1 days  
1699  -0.058937 2023-03-22 2023-03-23   1 days  

[1700 rows x 10 columns]",LTCUSD,Aberration
0,2018-04-05,2023-03-31,1821 days,91.21844127332601,76.48292777771361,161250.19878311778,-99.92351707222228,-79.29861249343946,-76.24874117450065,28.150674329841042,0.0,0.0,0.0,-99.95704710876116,-19.842583659913366,1568 days,139 days,1650,48.0,42.42284226722774,-30.584387814299152,-0.49635842201649627,1 days,1 days,0.8452490355936167,-0.3354705614121228,-0.9192725841918672,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27      81.833066     0.999493              NaT
2023-03-28      80.801550     0.999499              NaT
2023-03-29      78.986802     0.999510              NaT
2023-03-30      77.571067     0.999519              NaT
2023-03-31      76.482928     0.999526        1568 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  \
0     -370        17       18  269.624678  272.265991  -977.285705  -0.009796   
1     -364        18       19  271.721459  298.177002 -9629.817573  -0.097363   
2     -300        19       20  297.580648  318.398010 -6245.208691  -0.069955   
3     -261        20       21  317.761214  284.476990  8687.182615   0.104746   
4     -323        21       22  283.908036  303.437012 -6307.859241  -0.068786   
...    ...       ...      ...         ...         ...          ...        ...   
1645    -2      1817     1818   36.173822   35.922099     0.503447   0.006959   
1646    -2      1818     1819   35.850255   36.426508    -1.152506  -0.016074   
1647    -2      1819     1820   36.353655   37.182091    -1.656872  -0.022788   
1648    -2      1820     1821   37.107727   37.872206    -1.528958  -0.020602   
1649    -2      1821     1821   37.796462   37.872206    -0.151489  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-22 2018-04-23   1 days  
1    2018-04-23 2018-04-24   1 days  
2    2018-04-24 2018-04-25   1 days  
3    2018-04-25 2018-04-26   1 days  
4    2018-04-26 2018-04-27   1 days  
...         ...        ...      ...  
1645 2023-03-27 2023-03-28   1 days  
1646 2023-03-28 2023-03-29   1 days  
1647 2023-03-29 2023-03-30   1 days  
1648 2023-03-30 2023-03-31   1 days  
1649 2023-03-31 2023-03-31   0 days  

[1650 rows x 10 columns]",ZECUSD,Aberration
0,2018-04-05,2023-03-31,1821 days,74.47859495060372,13.769181997812066,178444.60783665927,-99.9862308180022,49.52027266025875,-83.15348248260152,19.16634831443527,0.0,0.0,0.0,-99.99228472120019,-28.039491549266614,1576 days,226 days,1342,45.75260804769001,39.998483783703264,-42.58957453528416,-0.7693154687552606,1 days,1 days,0.7374696550782477,-0.5760564593039978,-0.9962830035977654,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27      13.769182     0.999923              NaT
2023-03-28      13.769182     0.999923              NaT
2023-03-29      13.769182     0.999923              NaT
2023-03-30      13.769182     0.999923              NaT
2023-03-31      13.769182     0.999923        1576 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  ReturnPct  \
0    -5369        17       18   18.625075  18.770500   -780.790576  -0.007808   
1    -5296        18       19   18.732959  20.482799  -9267.154231  -0.093410   
2    -4400        19       20   20.441834  22.106100  -7322.771276  -0.081415   
3    -3745        20       21   22.061888  18.597900  12972.633187   0.157012   
4    -5150        21       22   18.560705  21.005800 -12592.242344  -0.131735   
...    ...       ...      ...         ...        ...           ...        ...   
1337    -1      1731     1732   15.512351  15.687238     -0.174887  -0.011274   
1338    -1      1732     1733   15.655864  15.782880     -0.127016  -0.008113   
1339    -1      1733     1734   15.751314  16.111077     -0.359763  -0.022840   
1340    -1      1734     1735   16.078855  15.895307      0.183548   0.011415   
1341    -1      1735     1736   15.863516  19.191867     -3.328351  -0.209812   

      EntryTime   ExitTime Duration  
0    2018-04-22 2018-04-23   1 days  
1    2018-04-23 2018-04-24   1 days  
2    2018-04-24 2018-04-25   1 days  
3    2018-04-25 2018-04-26   1 days  
4    2018-04-26 2018-04-27   1 days  
...         ...        ...      ...  
1337 2022-12-31 2023-01-01   1 days  
1338 2023-01-01 2023-01-02   1 days  
1339 2023-01-02 2023-01-03   1 days  
1340 2023-01-03 2023-01-04   1 days  
1341 2023-01-04 2023-01-05   1 days  

[1342 rows x 10 columns]",ETCUSD,Aberration
0,2018-04-05,2023-03-31,1821 days,99.06695938529089,22.96195721022366,146744.189073518,-99.97703804278977,-43.4500353642518,-81.33605568113883,26.65071107979211,0.0,0.0,0.0,-99.98435239081344,-19.46550496143013,1737 days,201 days,1805,48.25484764542936,33.41851530926638,-76.62912882903233,-0.46039230962597877,1 days,1 days,0.8581496167877839,-0.2777132124579871,-0.9918668640648489,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27      28.318883     0.999807              NaT
2023-03-28      26.678736     0.999818              NaT
2023-03-29      25.545611     0.999826              NaT
2023-03-30      24.316262     0.999834              NaT
2023-03-31      22.961957     0.999844        1737 days

[1822 rows x 3 columns]","        Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  \
0    -267053        17       18    0.374457   0.367921   1745.347848   
1    -277095        18       19    0.367185   0.372631  -1509.015589   
2    -269535        19       20    0.371886   0.397897  -7010.945503   
3    -234764        20       21    0.397101   0.341455  13063.725905   
4    -311906        21       22    0.340772   0.386439 -14243.783230   
...      ...       ...      ...         ...        ...           ...   
1800    -311      1817     1818    0.091740   0.092636     -0.278609   
1801    -306      1818     1819    0.092451   0.097777     -1.629839   
1802    -273      1819     1820    0.097581   0.101726     -1.131463   
1803    -251      1820     1821    0.101523   0.106362     -1.214702   
1804    -229      1821     1821    0.106149   0.106362     -0.048714   

      ReturnPct  EntryTime   ExitTime Duration  
0      0.017454 2018-04-22 2018-04-23   1 days  
1     -0.014831 2018-04-23 2018-04-24   1 days  
2     -0.069944 2018-04-24 2018-04-25   1 days  
3      0.140131 2018-04-25 2018-04-26   1 days  
4     -0.134010 2018-04-26 2018-04-27   1 days  
...         ...        ...        ...      ...  
1800  -0.009765 2023-03-27 2023-03-28   1 days  
1801  -0.057612 2023-03-28 2023-03-29   1 days  
1802  -0.042473 2023-03-29 2023-03-30   1 days  
1803  -0.047669 2023-03-30 2023-03-31   1 days  
1804  -0.002004 2023-03-31 2023-03-31   0 days  

[1805 rows x 10 columns]",XLMUSD,Aberration
