,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy,StrategyParameters
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,10140.384196399718,100459.71999999999,-89.85961580360029,-53.240042072529384,-36.75109844731378,17.608878446541972,0.0,0.0,0.0,-90.14559606935026,-90.14559606935026,1782 days,1782 days,1228,43.729641693811075,7.91255327183471,-10.517311242177307,-0.18865368701852514,4 days,2 days,0.7434561889335863,-0.17469837948795564,-3.417292658333029,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29   10256.815796     0.897901              NaT
2023-03-30   10085.420796     0.899607              NaT
2023-03-31    9977.914796     0.900677              NaT
2023-04-03    9899.706596     0.901456              NaT
2023-04-04   10140.384196     0.899060        1782 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     -500        31       32   199.87944     200.50  -310.28000  -0.003105   
1     -498        32       33   200.09900     201.96  -926.77800  -0.009300   
2     -490        33       34   201.55608     197.74  1869.87920   0.018933   
3     -509        34       35   197.34452     198.83  -756.10932  -0.007527   
4      501        35       36   199.22766     198.33  -449.72766  -0.004506   
...    ...       ...      ...         ...        ...         ...        ...   
1223  -100      1254     1255   102.60438     103.75  -114.56200  -0.011165   
1224    98      1255     1256   103.95750     103.50   -44.83500  -0.004401   
1225   -98      1256     1257   103.29300     105.15  -181.98600  -0.017978   
1226    94      1257     1258   105.36030     104.90   -43.26820  -0.004369   
1227   -94      1258     1258   104.69020     104.90   -19.72120  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",MMM,CDLZ,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,5329.996239999986,100000.0,-94.67000376000001,1.3080947983994986,-44.391252528507465,17.666042857511645,0.0,0.0,0.0,-94.84702738000001,-94.84702738000001,1783 days,1783 days,1228,44.869706840390876,12.8593095602473,-8.674108848370409,-0.2420103481891367,4 days,2 days,0.7313178483875,-0.2232060972854965,-3.8148961875893628,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-29    5192.64454     0.948074              NaT
2023-03-30    5257.25854     0.947427              NaT
2023-03-31    5152.97262     0.948470              NaT
2023-04-03    5156.57394     0.948434              NaT
2023-04-04    5329.99624     0.946700        1783 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0    -1584        31       32    63.11352      64.13 -1610.10432  -0.016106   
1     1531        32       33    64.25826      64.64   584.44394   0.005941   
2     1528        33       34    64.76928      63.48 -1970.01984  -0.019906   
3    -1531        34       35    63.35304      63.88  -806.77576  -0.008318   
4     1502        35       36    64.00776      64.31   453.96448   0.004722   
...    ...       ...      ...         ...        ...         ...        ...   
1223   -75      1254     1255    68.69234      69.50   -60.57450  -0.011758   
1224   -74      1255     1256    69.36100      68.46    66.67400   0.012990   
1225   -76      1256     1257    68.32308      68.91   -44.60592  -0.008590   
1226    74      1257     1258    69.04782      68.65   -29.43868  -0.005762   
1227   -75      1258     1258    68.51270      68.65   -10.29750  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",AOS,CDLZ,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,5282.213700000005,100680.64714,-94.7177863,4.252942692671194,-44.49139606129794,19.21247620634777,0.0,0.0,0.0,-96.52990351249741,-96.52990351249741,1782 days,1782 days,1228,45.27687296416938,15.834486943865523,-14.529147740920134,-0.23932816157173908,4 days,2 days,0.7565480324137451,-0.21476016084698554,-4.315718115965657,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-29    5478.95438     0.945581              NaT
2023-03-30    5378.86078     0.946575              NaT
2023-03-31    5349.16978     0.946870              NaT
2023-04-03    5361.36810     0.946749              NaT
2023-04-04    5282.21370     0.947535        1782 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     -839        31       32   119.13126     118.40   613.52714   0.006138   
1     -851        32       33   118.16320     123.55 -4584.16680  -0.045588   
2      775        33       34   123.79710     115.82 -6182.25250  -0.064437   
3     -777        34       35   115.58836     123.32 -6007.48428  -0.066889   
4      678        35       36   123.56664     124.69   761.63808   0.009091   
...    ...       ...      ...         ...        ...         ...        ...   
1223   -47      1254     1255   116.08736     119.04  -138.77408  -0.025435   
1224    45      1255     1256   119.27808     119.90    27.98640   0.005214   
1225   -45      1256     1257   119.66020     121.88   -99.89100  -0.018551   
1226    43      1257     1258   122.12376     122.70    24.77832   0.004718   
1227   -43      1258     1258   122.45460     122.70   -10.55220  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",AAP,CDLZ,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,6815.052767399849,100987.43386,-93.18494723260015,73.30007591367533,-41.587131490283916,15.155753922415508,0.0,0.0,0.0,-93.57732078191867,-47.553503910959336,1776 days,892 days,1228,41.93811074918567,7.356649635289592,-10.3056481094691,-0.21941260967489606,4 days,2 days,0.7082754229967352,-0.20567251785036517,-3.1757483357918086,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    6732.372407     0.933335              NaT
2023-03-30    6714.899567     0.933508              NaT
2023-03-31    6683.531447     0.933818              NaT
2023-04-03    6808.418447     0.932582              NaT
2023-04-04    6815.052767     0.932516        1776 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     -951        31       32   105.05946     107.00 -1845.45354  -0.018471   
1     -919        32       33   106.78600     106.55   216.88400   0.002210   
2     -925        33       34   106.33690     105.85   450.38250   0.004579   
3     -935        34       35   105.63830     104.55  1017.56050   0.010302   
4     -956        35       36   104.34090     102.29  1960.66040   0.019656   
...    ...       ...      ...         ...        ...         ...        ...   
1223   -42      1254     1255   158.66204     158.01    27.38568   0.004110   
1224    42      1255     1256   158.32602     158.43     4.36716   0.000657   
1225   -42      1256     1257   158.11314     158.25    -5.74812  -0.000866   
1226    42      1257     1258   158.56650     160.51    81.62700   0.012257   
1227    42      1258     1258   160.83102     160.51   -13.48284  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",ABBV,CDLZ,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,3509.0954014000367,100000.0,-96.49090459859997,72.29578598908472,-48.854440923427234,18.228360507890887,0.0,0.0,0.0,-97.09689487859995,-97.09689487859995,1783 days,1783 days,1228,43.97394136807817,12.385313962069223,-11.403197709114199,-0.2789528374359085,4 days,2 days,0.7312627676846232,-0.2536796445264374,-4.331648414859528,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    3552.552801     0.964474              NaT
2023-03-30    3565.843101     0.964342              NaT
2023-03-31    3527.731881     0.964723              NaT
2023-04-03    3568.486041     0.964315              NaT
2023-04-04    3509.095401     0.964909        1783 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     -424        31       32   235.76752     239.85 -1730.97152  -0.017316   
1     -410        32       33   239.37030     241.15  -729.67700  -0.007435   
2     -405        33       34   240.66770     236.32  1760.81850   0.018065   
3     -421        34       35   235.84736     243.79 -3343.85144  -0.033677   
4      392        35       36   244.27758     245.00   283.18864   0.002957   
...    ...       ...      ...         ...        ...         ...        ...   
1223     9      1254     1255   377.43336     381.65    37.94976   0.011172   
1224    -9      1255     1256   380.88670     382.29   -12.62970  -0.003684   
1225    -9      1256     1257   381.52542     380.88     5.80878   0.001692   
1226    -9      1257     1258   380.11824     382.24   -19.09584  -0.005582   
1227    -9      1258     1258   381.47552     382.24    -6.88032  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",ADBE,CDLZ,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,955.2380085998977,102432.7492,-99.0447619914001,27.927250864271752,-60.5813771881591,14.753475676592698,0.0,0.0,0.0,-99.06744862745526,-99.06744862745526,1779 days,1779 days,1228,40.63517915309446,16.278514905962773,-35.86322512191127,-0.380543157886315,4 days,2 days,0.6052764451715501,-0.3533625386073103,-3.179625248604455,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29     977.026149     0.990462              NaT
2023-03-30     971.311649     0.990518              NaT
2023-03-31     961.742749     0.990611              NaT
2023-04-03     960.963729     0.990619              NaT
2023-04-04     955.238009     0.990674        1779 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     1395        31       32    71.66304      72.50  1167.55920   0.011679   
1    -1398        32       33    72.35500      71.95   566.19000   0.005597   
2    -1416        33       34    71.80610      70.73  1523.75760   0.014986   
3    -1462        34       35    70.58854      71.75 -1698.05452  -0.016454   
4     1412        35       36    71.89350      70.66 -1741.70200  -0.017157   
...    ...       ...      ...         ...        ...         ...        ...   
1223   -11      1254     1255    84.21623      84.75    -5.87147  -0.006338   
1224   -11      1255     1256    84.58050      84.95    -4.06450  -0.004369   
1225   -11      1256     1257    84.78010      85.41    -6.92890  -0.007430   
1226    11      1257     1258    85.58082      85.13    -4.95902  -0.005268   
1227    11      1258     1258    85.30026      85.13    -1.87286  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",ATVI,CDLZ,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,5645.376809999982,101500.60015999996,-94.35462319000001,107.1304347826087,-43.747699820423925,19.819926972487085,0.0,0.0,0.0,-94.792748041225,-50.20976054677588,1747 days,890 days,1228,46.17263843648208,17.764471057884236,-14.968269738549811,-0.2335474254431258,4 days,2 days,0.758471219959334,-0.2087193482038903,-3.261511587757229,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-29    5740.37877     0.943445              NaT
2023-03-30    5755.66293     0.943294              NaT
2023-03-31    5702.59781     0.943817              NaT
2023-04-03    5668.08181     0.944157              NaT
2023-04-04    5645.37681     0.944381        1747 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0    -8308        31       32    12.03588      11.99   381.17104   0.003812   
1     8355        32       33    12.01398      12.12   885.79710   0.008825   
2    -8372        33       34    12.09576      12.13  -286.65728  -0.002831   
3    -8341        34       35    12.10574      12.22  -953.04266  -0.009438   
4    -8201        35       36    12.19556      12.39 -1594.60244  -0.015944   
...    ...       ...      ...         ...        ...         ...        ...   
1223   244      1254     1255    23.20632      23.68   115.57792   0.020412   
1224   244      1255     1256    23.72736      23.74     3.08416   0.000533   
1225  -244      1256     1257    23.69252      24.00   -75.02512  -0.012978   
1226   237      1257     1258    24.04800      23.90   -35.07600  -0.006154   
1227  -238      1258     1258    23.85220      23.90   -11.37640  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",AES,CDLZ,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,4337.013021399699,102321.37959999999,-95.6629869786003,71.73404610758436,-46.6392832499143,15.508227886489411,0.0,0.0,0.0,-95.76396581208752,-95.76396581208752,1778 days,1778 days,1228,41.530944625407166,9.244552575779519,-9.250577688861128,-0.2553901258908531,4 days,2 days,0.6624890784054618,-0.2420077130109042,-4.13126776127689,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    4421.746581     0.956786              NaT
2023-03-30    4365.601141     0.957334              NaT
2023-03-31    4334.368621     0.957640              NaT
2023-04-03    4379.909821     0.957195              NaT
2023-04-04    4337.013021     0.957614        1778 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     1635        31       32    61.14204     62.000  1402.76460   0.014032   
1     1632        32       33    62.12400     62.100   -39.16800  -0.000386   
2    -1635        33       34    61.97580     61.220  1235.73300   0.012195   
3    -1679        34       35    61.09756     61.890 -1330.50676  -0.012970   
4     1633        35       36    62.01378     62.490   777.66726   0.007679   
...    ...       ...      ...         ...        ...         ...        ...   
1223   -45      1254     1255    97.81398     99.380   -70.47090  -0.016010   
1224    44      1255     1256    99.57876     99.915    14.79456   0.003377   
1225   -44      1256     1257    99.71517    100.800   -47.73252  -0.010879   
1226    43      1257     1258   101.00160    101.900    38.63120   0.008895   
1227    43      1258     1258   102.10380    101.900    -8.76340  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",ABT,CDLZ,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,7605.369499999704,100457.50365999999,-92.39463050000029,46.24713958810067,-40.2901029029049,17.93125994738653,0.0,0.0,0.0,-92.48400047292226,-92.48400047292226,1782 days,1782 days,1228,44.462540716612374,26.063662149385447,-12.046126686221337,-0.21114967878342883,4 days,2 days,0.7239819143067184,-0.19265100940876476,-4.155530043540287,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-29    7640.15284     0.923946              NaT
2023-03-30    7624.26006     0.924105              NaT
2023-03-31    7582.11570     0.924524              NaT
2023-04-03    7550.38550     0.924840              NaT
2023-04-04    7605.36950     0.924293        1782 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  \
0    -2193        31       32    45.59862      45.61  -24.95634  -0.000250   
1    -2196        32       33    45.51878      45.51   19.28088   0.000193   
2    -2201        33       34    45.41898      45.41   19.76498   0.000198   
3    -2206        34       35    45.31918      45.34  -45.92892  -0.000459   
4    -2209        35       36    45.24932      45.17  175.21788   0.001753   
...    ...       ...      ...         ...        ...        ...        ...   
1223  -119      1254     1255    64.21132      64.67  -54.58292  -0.007143   
1224  -117      1255     1256    64.54066      64.51    3.58722   0.000475   
1225  -118      1256     1257    64.38098      64.45   -8.14436  -0.001072   
1226  -118      1257     1258    64.32110      65.10  -91.91020  -0.012110   
1227  -115      1258     1258    64.96980      65.10  -14.97300  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",AFL,CDLZ,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,4821.807293399664,107518.34837999984,-95.17819270660034,82.14620032337672,-45.49544608374711,16.020504812131712,0.0,0.0,0.0,-95.56308782149499,-20.565204637756718,1604 days,298 days,1228,43.078175895765476,8.554074175933435,-8.268994920283046,-0.24929309479164719,4 days,2 days,0.6702511941470818,-0.23577393490746926,-3.496204418236529,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    4832.337273     0.955056              NaT
2023-03-30    4785.653333     0.955490              NaT
2023-03-31    4770.494693     0.955631              NaT
2023-04-03    4808.708933     0.955275              NaT
2023-04-04    4821.807293     0.955154        1604 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     -781        31       32   128.00348    129.210  -942.29212  -0.009426   
1      765        32       33   129.46842    129.000  -358.34130  -0.003618   
2     -766        33       34   128.74200    127.400  1027.97200   0.010424   
3     -784        34       35   127.14520    129.280 -1673.68320  -0.016790   
4      756        35       36   129.53856    130.270   552.96864   0.005647   
...    ...       ...      ...         ...        ...         ...        ...   
1223   -22      1254     1255   215.67778    220.570  -107.62884  -0.022683   
1224    21      1255     1256   221.01114    220.920    -1.91394  -0.000412   
1225   -21      1256     1257   220.47816    218.540    40.70136   0.008791   
1226    22      1257     1258   218.97708    216.155   -62.08576  -0.012888   
1227   -22      1258     1258   215.72269    216.155    -9.51082  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",ADP,CDLZ,
